taxa,Species,StudyPop,PC1 ,PC2 ,PC3
SRR5349971,P. sativum,Included,64.72415527,-43.08311024,12.08605639
SRR5349972,P. sativum,Included,35.14493056,5.227890853,33.25689311
SRR5349973,P. sativum,Included,68.6924393,-47.07708229,3.201931697
SRR5349974,P. sativum subsp. sativum - Primary,Included,67.24837215,-41.48347402,7.69441328
SRR5349975,P. sativum subsp. sativum - Primary,Included,76.08424235,-56.60841324,0.159368948
SRR5349976,P. sativum subsp. sativum - Primary,Included,83.22202279,-72.68208932,-11.40470547
SRR5349977,P. sativum subsp. sativum - Primary,Included,65.19365827,-38.19384644,6.1281616
SRR5349978,P. sativum,Included,55.16016304,-13.34924717,-12.28163867
SRR5349979,P. sativum,Included,61.29299241,-31.82688615,10.57297183
SRR5349980,P. sativum subsp. abyssinicum,Included,-151.2855025,53.35178376,99.84581515
SRR5349981,P. sativum,Included,59.60774487,-27.47793548,3.833389954
SRR5349983,P. sativum,Included,26.45162818,15.51919316,38.21280468
SRR5349984,P. sativum subsp. sativum - Primary,Included,43.13187537,4.28665408,-13.86603037
SRR5349985,P. sativum,Included,33.7452131,18.39280769,-2.44223703
SRR5349986,P. sativum,Included,57.37144718,-15.31087492,-10.5565995
SRR5349987,P. sativum,Included,-13.05409772,119.4494461,-105.2384728
SRR5349988,P. sativum subsp. sativum - Primary,Included,57.92490463,-23.90712504,-10.98777785
SRR5349989,P. sativum subsp. sativum - Primary,Included,82.9573036,-67.69298943,-16.73164474
SRR5349990,P. sativum subsp. sativum - Primary,Included,83.75474166,-73.40526441,-8.870108771
SRR5349991,P. sativum subsp. sativum - Primary,Included,58.66738372,-22.8526472,-14.43210985
SRR5349992,P. sativum subsp. sativum - Primary,Included,62.42514595,-33.55249561,5.271136692
SRR5349993,P. sativum,Included,47.20115057,-3.745095403,-8.102202587
SRR5349994,P. sativum subsp. sativum - Primary,Included,37.82913272,12.13897965,0.366333967
SRR5349995,P. sativum,Included,-61.02776289,162.416025,-49.25412934
SRR5349996,P. sativum,Included,54.52785858,-10.4722185,2.299360734
SRR5349998,P. sativum subsp. elatius,Included,-227.0427671,96.65241023,151.0588539
SRR5350001,P. sativum,Included,-10.77935924,47.03760463,55.31443593
SRR5350004,P. sativum subsp. sativum - Primary,Included,31.20207977,8.067962468,42.23127869
SRR5350005,P. sativum,Included,28.49254363,14.7080478,42.58743458
SRR5350009,P. sativum subsp. sativum - Primary,Included,54.20977975,-17.13454805,19.26029055
SRR5350010,P. sativum subsp. sativum - Primary,Included,58.41171186,-21.50771022,14.71779712
SRR5350011,P. sativum subsp. sativum - Primary,Included,70.3831935,-48.85280785,7.809950977
SRR5350012,P. sativum,Included,44.59025024,-7.245861231,26.19218365
SRR5350013,P. sativum,Included,73.12021224,-48.01591701,0.376343425
SRR5350014,P. sativum,Included,35.62560999,6.024441618,29.10827968
SRR5350015,P. sativum,Included,-31.48705354,86.19175077,47.65356776
SRR5350016,P. sativum,Included,10.53169729,38.10977996,47.26963992
SRR5350017,P. sativum subsp. sativum - Primary,Included,65.51031882,-28.8066335,6.389970504
