TAXA,Fe,K,P,Zn,Ca,IP6
SRR5350031,9.411618538,-261.3031375,-249.1886774,1.731977107,170.2732917,NA
SRR5350032,-0.836077148,-321.31699,-482.8184199,-1.43521431,-98.82818489,-0.0116181
SRR5350033,-1.978916661,-606.8551237,276.6346441,4.009809935,33.83864028,0.01929075
SRR5350034,-5.091251047,-384.3313748,-296.0247732,-1.923501421,248.4498435,NA
SRR5350035,-2.751043693,-483.8322427,-90.88193407,-2.877967376,-26.73389156,NA
SRR5350036,10.72486039,17.24226175,-577.949393,-3.87974716,70.57317314,-0.0082517
SRR5350037,-7.333199396,-291.6772143,127.6344709,-2.840156557,-167.235722,-0.0267929
SRR5350038,1.467323765,88.87617108,359.768289,0.643233519,-53.49027261,NA
SRR5350039,-4.231613918,-450.0920476,-0.561115626,-1.371958368,435.0806528,NA
SRR5350040,0.869302017,286.8990837,147.9419929,-0.650968205,NA,0.00083368
SRR5350041,8.026620459,346.7817814,NA,2.598966557,-132.5328087,NA
SRR5350042,12.72279346,105.6635596,-45.30622636,1.208547034,NA,-0.0275266
SRR5350043,7.259458451,-385.426273,-235.4851903,-1.761013421,353.0053411,NA
SRR5350044,NA,NA,NA,NA,-155.5855786,NA
SRR5350045,NA,NA,NA,NA,NA,NA
SRR5350046,NA,39.18177028,-285.3618345,3.032832383,NA,NA
SRR5350047,NA,1328.978392,53.95768249,5.321072749,-59.93892781,0.02545192
SRR5350048,2.177758048,943.5770359,109.7223111,NA,108.6822525,-0.0198658
SRR5350049,11.9116876,570.1139663,-97.12931932,2.195402744,NA,0.02294247
SRR5350050,NA,-170.5130685,16.895189,3.479289472,NA,-0.0074407
SRR5350051,-6.146502406,1128.518857,211.7921602,-2.411650298,-133.3883973,-0.0124628
SRR5350052,-7.093029793,-537.9712362,-247.4045233,-3.892136492,NA,NA
SRR5350053,NA,NA,NA,NA,-85.30748109,NA
SRR5350054,NA,-487.7637989,47.08846244,4.218510826,NA,0.02156654
SRR5350055,-0.921502655,-204.116176,218.4741245,-5.644355098,NA,-0.0028114
SRR5350056,-2.54926835,-513.1197448,-7.771530521,-1.638857467,128.7504376,0.00526409
SRR5350057,-5.157897863,665.0178466,200.6455245,-2.549006948,-199.2530126,0.01269705
SRR5350058,4.143998924,554.2524411,220.7292336,0.19890738,6.140026325,0.00452611
SRR5350059,-1.648770591,621.0113376,-255.6462914,-0.732011548,120.8698471,-0.006067
SRR5350060,6.598097622,1796.071475,NA,0.327780329,-130.1616596,-0.0058685
SRR5350061,NA,1631.301289,723.1784389,4.795238817,NA,0.00633025
SRR5350062,8.043671053,-249.041839,-539.9716333,2.098059163,337.5554801,NA
SRR5350063,-4.056660521,-482.1544606,3.885007772,-4.42024174,-32.28155874,NA
SRR5350064,NA,262.2310124,233.7748937,2.530837713,45.95918639,NA
SRR5350065,17.34979515,-345.7057144,60.62737004,3.778612713,83.86888544,NA
SRR5350066,-8.675609808,-127.0155963,112.1753201,-1.639384953,110.2607086,0.01016613
SRR5350067,1.407327142,523.7074442,91.36727557,2.823838127,-141.2554791,-0.024325
SRR5350068,NA,-762.1285309,-289.2655981,0.421496994,185.1861863,-0.0212624
SRR5350069,-8.774214872,-436.2770189,-6.067056759,-3.475061448,76.88163861,NA
SRR5350070,1.686878179,-318.9277066,-185.2141283,-2.300054765,-4.281730525,NA
SRR5350071,NA,-337.8094459,67.22900052,2.974306835,-162.123468,NA
SRR5350072,10.16603433,-39.5303131,-180.7106756,-2.376901727,-101.5413542,-0.0134868
SRR5350073,1.547782496,192.981241,431.4362914,-1.236691654,74.81953328,-0.0093802
SRR5350074,16.59537232,-73.78987708,-439.9536801,7.221158862,125.1242556,0.00186049
SRR5350075,-0.786479989,-312.7523594,-132.4083423,0.10787117,191.7867287,NA
SRR5350076,1.070227745,-241.8582542,46.01270366,-1.156010543,75.82394053,0.00955468
SRR5350077,8.451207967,-8.690487705,49.8951009,2.445068065,-67.06250283,0.03269291
SRR5350078,0.630595881,331.2860055,-50.56379453,-1.305893344,-3.792140996,0.06310344
SRR5350079,-17.54744171,-1188.355909,-243.1162029,-6.053337241,30.49633404,0.04780211
SRR5350080,NA,NA,NA,NA,NA,NA
SRR5350081,-1.802892611,NA,NA,NA,NA,NA
SRR5350082,NA,NA,NA,NA,-28.36814928,NA
SRR5350083,4.064020719,-285.2997893,65.83076222,1.13904374,NA,0.02826659
SRR5350084,-0.977882977,21.47475542,249.3172575,3.778163311,104.0257643,0.01383195
SRR5350085,-5.07926804,14.18537419,385.961104,-3.73851509,280.1922145,0.02505488
SRR5350086,1.720233795,557.2316519,-40.7676431,0.542803408,-81.27749152,0.00660611
SRR5350087,2.56145667,-316.8611868,29.35507137,3.056487055,-135.0268741,0.03040467
SRR5350088,NA,NA,NA,NA,128.1744068,NA
SRR5350089,-5.488129227,-1155.947684,555.4654535,0.23529196,NA,NA
SRR5350090,3.090702615,650.3984511,-441.2958832,2.922721774,NA,NA
SRR5350091,NA,NA,549.9870218,4.502955626,8.045830118,-0.0851374
SRR5350092,1.44651004,421.5665472,5.468254935,1.421871815,155.490251,-0.0212778
SRR5350093,NA,NA,NA,NA,NA,NA
SRR5350094,2.733786418,-907.1608711,-17.7098177,NA,NA,-0.0079758
SRR5350095,4.421099129,-800.5926309,-568.1486866,0.60163599,258.8223121,NA
SRR5350096,NA,57.98733369,NA,5.166453475,-157.6098822,NA
SRR5350097,1.792131685,108.9080976,-152.3154437,-1.15755017,NA,0.00918066
SRR5350098,3.851863657,1014.743321,NA,5.480314148,-266.3775218,-0.0030477
SRR5350099,-1.262352223,-84.76147483,-312.1365552,-2.910876142,-63.70134917,NA
SRR5350100,NA,NA,NA,NA,-85.90518166,NA
SRR5350101,1.895405764,-238.7214116,274.6975546,1.205467111,NA,-0.0241135
SRR5350102,1.742504668,558.4998732,504.6501408,3.907623708,140.1471628,-0.0323852
SRR5350103,-7.209340298,-278.8469915,115.6585781,-2.033619657,45.6503728,-0.0102486
SRR5350104,2.577011967,479.6788583,311.5516443,-0.548193715,NA,0.00957695
SRR5350105,NA,NA,NA,NA,131.1372521,NA
SRR5350106,-2.632678931,-228.2888062,-352.9370039,-3.77190591,NA,0.02709973
SRR5350107,-2.099244454,-174.3123135,-154.1823519,0.82064925,64.43459537,-0.0115365
SRR5350108,NA,-14.48988676,-120.8746265,3.658280999,102.2167346,-0.0369227
SRR5350109,-5.517833447,148.4837165,-81.46990864,-1.723421903,87.8913061,0.02857682
SRR5350110,2.640454759,325.1171788,-164.9241641,-1.82438679,-168.3398989,-0.0128511
SRR5350111,-3.385568687,606.3370875,415.0146263,2.335121934,277.1970103,0.01644198
SRR5350112,NA,NA,NA,NA,162.542331,NA
SRR5350113,2.083675408,103.7643881,154.3113681,2.831352153,NA,-0.0101602
SRR5350114,-5.146149339,477.215173,99.85730154,-3.103581054,NA,0.05511763
SRR5350115,-6.40916002,693.6969979,54.88109741,-2.039342872,NA,0.0059488
SRR5350116,-5.413708014,-432.9064945,-298.8198597,-1.212691283,-119.6000806,-0.0279131
SRR5350117,NA,-55.53559191,19.94592172,4.919993791,-110.5512373,-0.0411314
SRR5350118,-11.06964727,-320.2809292,-28.2424966,-6.82068925,-10.48441999,NA
SRR5350119,-5.534107364,174.866501,222.4214952,-1.453729727,-54.93913819,NA
SRR5350120,NA,NA,NA,NA,-59.00505402,NA
SRR5350121,8.738349416,326.5778962,252.493754,3.258099645,NA,0.02277017
SRR5350122,6.286911549,923.7053004,111.5143874,4.539916835,NA,NA
SRR5350123,0.312144317,-729.627898,101.8645734,3.333870453,-111.4352148,-0.0184085
SRR5350124,NA,NA,NA,NA,62.51921934,-0.0019254
SRR5350125,8.019611436,-809.6772567,-250.3144037,0.910429637,-19.71263903,-0.0318699
SRR5350126,8.8915332,-813.2582864,3.640894422,0.72540834,-74.08302944,0.00970611
SRR5350127,NA,575.9603378,213.4154798,NA,155.3108518,NA
SRR5350128,NA,-233.3515441,-271.549192,2.125871804,131.063235,NA
SRR5350129,8.981386327,1203.525799,129.5736667,1.703409944,78.65018563,NA
SRR5350130,NA,-25.13495203,-229.5679399,1.09272432,-170.1444453,-0.0269272
SRR5350131,NA,38.52334892,-147.9087819,0.906653783,42.51514957,-0.0025795
SRR5350132,NA,NA,NA,NA,4.53437697,NA
SRR5350133,NA,-636.7214026,-333.5221282,1.108203937,NA,0.04712106
SRR5350134,-7.838497944,537.000803,73.01072337,-0.835653931,7.070802102,-0.023401
SRR5350135,-12.29656614,-522.4612615,-181.9762508,-7.390860851,300.1470332,NA
SRR5350136,-0.709076074,-979.88632,-250.5827141,-1.031881929,-12.61997547,0.03859639
SRR5350137,-6.994048496,12.5539121,144.383109,-2.068904415,-104.5784093,NA
SRR5350138,3.007308796,462.7318127,104.8376972,NA,-5.638093987,0.02120073
SRR5350139,NA,NA,NA,NA,NA,NA
SRR5350140,-6.335012968,182.8413499,-237.6029084,-4.759413489,NA,NA
SRR5350141,NA,-98.73649866,-358.1759245,4.665982272,-62.61822794,0.01732669
SRR5350142,-4.428481372,-805.2639221,-271.5335733,0.670936302,0.83424965,NA
SRR5350143,-0.04560367,516.0921762,193.7679057,1.792910077,207.7150656,NA
